144,"default",0
145,"i",146
145,"default",0
146,"c",147
146,"default",0
147,"_",148
147,"default",0
148,"c",149
148,"default",0
149,"a",150
149,"default",0
150,"s",151
150,"default",0
151,"t",1
151,"default",0
152,"l",153,
152,"n",155,
152,"x",157
152,"default",0
153,"s",154
153,"default",0
154,"e",1
154,"default",0
155,"u",156
155,"default",0
156,"m",1
156,"default",0
157,"p",158,
157,"t",165
157,"default",0
158,"l",159,
158,"o",163
158,"default",0
159,"i",160
159,"default",0
160,"c",161
160,"default",0
161,"i",162
161,"default",0
162,"t",1
162,"default",0
163,"r",164
163,"default",0
164,"t",1
164,"default",0
165,"e",166
165,"default",0
166,"r",167
166,"default",0
167,"n",1
167,"default",0
168,"a",169,
168,"l",172,
168,"o",175,
168,"r",176
168,"default",0
169,"l",170
169,"default",0
170,"s",171
170,"default",0
171,"e",1
171,"default",0
172,"o",173
172,"default",0
173,"a",174
173,"default",0
174,"t",1
174,"default",0
175,"r",1
175,"default",0
176,"i",177
176,"default",0
177,"e",178
177,"default",0
178,"n",179
178,"default",0
179,"d",1
179,"default",0
180,"o",181
180,"default",0
181,"t",182
181,"default",0
182,"o",1
182,"default",0
183,"f",1,
183,"n",184
183,"default",0
184,"l",185,
184,"t",1
184,"default",0
185,"i",186
185,"default",0
186,"n",187
185,"default",0
187,"e",1
187,"default",0
188,"o",189
188,"default",0
189,"n",190
189,"default",0
190,"g",1
190,"default",0
191,"u",192
191,"default",0
192,"t",193
192,"default",0
193,"a",194
193,"default",0
194,"b",195
194,"default",0
195,"l",196
195,"default",0
196,"e",1
196,"default",0
197,"a",198,
197,"e",205,
197,"o",206,
197,"u",214
197,"default",0
198,"m",199
198,"default",0
199,"e",200
199,"default",0
200,"s",201
200,"default",0
201,"p",202
201,"default",0
202,"a",203
202,"default",0
203,"c",204
203,"default",0
204,"e",1
204,"default",0
205,"w",1
205,"default",0
206,"e",207,
206,"t",1
206,"default",0
207,"x",208
207,"default",0
208,"c",209
208,"default",0
209,"e",210
209,"default",0
210,"p",211
210,"default",0
211,"t",1
211,"default",0
212,"e",213
212,"default",0
213,"q",1
213,"default",0
214,"l",215
214,"default",0
215,"l",216
215,"default",0
216,"p",217
216,"default",0
217,"t",218
217,"default",0
218,"r",1
218,"default",0
219,"p",220,
219,"r",1
219,"default",0
220,"e",221
220,"default",0
221,"r",222
221,"default",0
222,"a",223
222,"default",0
223,"t",224
223,"default",0
224,"o",225
224,"default",0
225,"r",1
225,"default",0
226,"e",227
226,"default",0
227,"q",1
227,"default",0
228,"r",229,
228,"u",240
228,"default",0
229,"i",230,
229,"o",234
229,"default",0
230,"v",231
230,"default",0
231,"a",232
231,"default",0
232,"t",233
232,"default",0
233,"e",1
233,"default",0
234,"t",235
234,"default",0
235,"e",236
235,"default",0
236,"c",237
236,"default",0
237,"t",238
237,"default",0
238,"e",239
238,"default",0
239,"d",1
239,"default",0
240,"b",241
240,"default",0
241,"l",242
241,"default",0
242,"i",243
242,"default",0
243,"c",1
243,"default",0
244,"e",245
244,"default",0
245,"f",246,
245,"g",251,
245,"i",256,
245,"q",269,
245,"t",274
245,"default",0
246,"l",247
246,"default",0
247,"e",248
247,"default",0
248,"x",249
248,"default",0
249,"p",250
249,"default",0
250,"r",1
250,"default",0
251,"i",252
251,"default",0
252,"s",253
252,"default",0
253,"t",254
253,"default",0
254,"e",255
254,"default",0
255,"r",1
255,"default",0
256,"n",257
256,"default",0
257,"t",258
257,"default",0
258,"e",259
258,"default",0
259,"r",260
259,"default",0
260,"p",261
260,"default",0
261,"r",262
261,"default",0
262,"e",263
262,"default",0
263,"t",264
263,"default",0
264,"_",265
264,"default",0
265,"c",266
265,"default",0
266,"a",267
266,"default",0
267,"s",268
267,"default",0
268,"t",1
268,"default",0
269,"u",270
269,"default",0
270,"i",271
270,"default",0
271,"r",272
271,"default",0
272,"e",273
272,"default",0
273,"s",1
273,"default",0
274,"u",275
274,"default",0
